source,barcode,name,name_ar,name_en,generic_name,brand,brand_slug,quantity,quantity_value,quantity_unit,categories,image_url,lang,stores
beauty,3701002701311,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/370/100/270/1311/front_ar.3.400.jpg,ar,
beauty,8859362512315,,,,,,,,,,,,ar,
beauty,6223001380177,"eva skin cream with honey",,"eva skin cream with honey",,eva,eva,170,0,,en:non-food-products|en:open-beauty-facts,,en,
beauty,6292625171553,,,,,,,,,,,,ar,
beauty,5054563103482,"Sensodyne Extra Fresh Toothpaste, 100 ml",,"Sensodyne Extra Fresh Toothpaste, 100 ml",,Sensodyne,Sensodyne,"100 ml",100,ml,en:hygiene|en:incorrect-product-type|en:toothpastes|en:non-food-products|en:open-beauty-facts,https://images.openbeautyfacts.org/images/products/505/456/310/3482/front_en.3.400.jpg,en,
beauty,3401381717704,"Purifying cleansing gel",,"Purifying cleansing gel",,Isispharma,Isispharma,250ml,250,ml,en:open-beauty-facts,https://images.openbeautyfacts.org/images/products/340/138/171/7704/front_en.3.400.jpg,en,
beauty,5391504340187,,,,,,,,,,,,ar,
beauty,0644100490073,,,,,,,,,,"ar:ورق لف التبغ",https://images.openbeautyfacts.org/images/products/064/410/049/0073/front_ar.4.400.jpg,ar,
beauty,6223009501178,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/622/300/950/1178/front_en.3.400.jpg,en,
beauty,6009515606176,"Dis-Chem Lip Therapy Aloe Vera 10ml",,"Dis-Chem Lip Therapy Aloe Vera 10ml",,Dis-Chem,Dis-Chem,,,,en:non-food-products|en:open-beauty-facts,https://images.openbeautyfacts.org/images/products/600/951/560/6176/front_en.3.400.jpg,en,
beauty,4005900132246,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/400/590/013/2246/front_ar.3.400.jpg,ar,
beauty,0796554078700,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/079/655/407/8700/front_ar.3.400.jpg,ar,
beauty,3600524093068,"Heat Protect 48H Deo Roll-On Anti-Transpirant",,"Heat Protect 48H Deo Roll-On Anti-Transpirant",,L'Oréal,l-oreal,,,,en:non-food-products|en:open-beauty-facts,https://images.openbeautyfacts.org/images/products/360/052/409/3068/front_en.3.400.jpg,en,
beauty,8433295052843,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/843/329/505/2843/front_ar.3.400.jpg,ar,
beauty,3560071400248,,,,,Carrefour,Carrefour,,,,,,fr,Carrefour
beauty,4066447006032,,,,,,,,,,,,ar,
beauty,3337875797757,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/333/787/579/7757/front_ar.3.400.jpg,ar,
beauty,8001090422484,"Gillette Mach3 Refill Blades For Men, Pack of 6,",,"Gillette Mach3 Refill Blades For Men, Pack of 6,",,Gillette,Gillette,,,,en:non-food-products|en:open-beauty-facts,,en,
beauty,6916790266363,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/691/679/026/6363/front_ar.4.400.jpg,ar,
beauty,5111427007895,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/511/142/700/7895/front_ar.7.400.jpg,ar,
beauty,0122046985438,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/012/204/698/5438/front_ar.3.400.jpg,ar,
beauty,6224008073390,,,,,,,,,,en:non-food-products|en:open-beauty-facts,https://images.openbeautyfacts.org/images/products/622/400/807/3390/front_ar.3.400.jpg,ar,
beauty,6976216089327,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/697/621/608/9327/front_ar.3.400.jpg,ar,
beauty,0852474361817,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/085/247/436/1817/front_en.5.400.jpg,ar,
beauty,5000101082214,"Imperial Leather Gentle Bar Soap 4 x 100g",,"Imperial Leather Gentle Bar Soap 4 x 100g",,"Imperial Leather","Imperial Leather","4 x 100g",400,g,,https://images.openbeautyfacts.org/images/products/500/010/108/2214/front_en.3.400.jpg,en,
beauty,11111240410132,,,,,,,,,,,,ar,
beauty,6970259679101,,,,,,,,,,,,ar,
beauty,0604102511022,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/060/410/251/1022/front_ar.3.400.jpg,ar,
beauty,6111266710023,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/611/126/671/0023/front_ar.3.400.jpg,ar,
beauty,0837654250631,,,,,,,,,,,,ar,
beauty,6287002231005,,,,,,,,,,,,ar,
beauty,0001006021883,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/000/100/602/1883/front_en.3.400.jpg,en,
beauty,0001097361203,"ss2322440@gmail.com ",,"ss2322440@gmail.com ",,ss2322440@gmail.com,ss2322440@gmail.com,,,,,https://images.openbeautyfacts.org/images/products/000/109/736/1203/front_en.3.400.jpg,en,
beauty,8001841123950,"Pantene Super Food Shampoo with Antioxidants and Lipids, 600ml",,"Pantene Super Food Shampoo with Antioxidants and Lipids, 600ml",,Pantene,Pantene,,,,,,en,
beauty,42439233,"NIVEA Antiperspirant Deo Roll-on Joy of Life with roses & lilies fragrance, 50 ml",,"NIVEA Antiperspirant Deo Roll-on Joy of Life with roses & lilies fragrance, 50 ml",,NIVEA,NIVEA,,,,en:femal,https://images.openbeautyfacts.org/images/products/000/004/243/9233/front_en.3.400.jpg,en,
beauty,4005808713059,"Nivea Body Lotion Cocoa Butter 625 ml",,"Nivea Body Lotion Cocoa Butter 625 ml",,Nivea,Nivea,"625 ml",625,ml,en:non-food-products|en:open-beauty-facts,https://images.openbeautyfacts.org/images/products/400/580/871/3059/front_en.3.400.jpg,en,
beauty,0667552085000,,,,,,,,,,,,en,
beauty,6221155054746,"Lux body wash","Lux body wash",,,Lux,unilever|lux,"500 ml",500,,"ar:Body lotion",,ar,
beauty,6223000657348,"johnson’s face care",,"johnson’s face care",,johnson’s,johnson’s,150ml,150,,,https://images.openbeautyfacts.org/images/products/622/300/065/7348/front_en.6.400.jpg,en,
beauty,6224008838067,,,Starline,,Hayah,Hayah,200ml,200,,"en:غسول وجه وجسم",,ar,"صيدلية جيمي"
beauty,3401398335694,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/340/139/833/5694/front_ar.3.400.jpg,ar,
beauty,8009518323948,"maschera peel off",,,,dermolab,dermolab,75ml,75,,fr:Masque,https://images.openbeautyfacts.org/images/products/800/951/832/3948/front_fr.4.400.jpg,fr,
beauty,6225897152623,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/622/589/715/2623/front_en.3.400.jpg,en,
beauty,3600524042684,"Loreal elvive haylorinc moisture",,"Loreal elvive haylorinc moisture",,,,,,,,https://images.openbeautyfacts.org/images/products/360/052/404/2684/front_en.3.400.jpg,en,
beauty,4005900626516,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/400/590/062/6516/front_en.3.400.jpg,en,
beauty,4005900459800,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/400/590/045/9800/front_de.7.400.jpg,en,
beauty,6223004370113,Eva,,Eva,,"Skin clinic","Skin clinic",,,,,,en,
beauty,6223004160134,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/622/300/416/0134/front_ar.5.400.jpg,ar,
beauty,3610340655166,,,,,,,,,,,,en,
beauty,0667549546507,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/066/754/954/6507/front_en.3.400.jpg,en,
beauty,6225000443747,AVENU,AVENU,,,,,,,,,https://images.openbeautyfacts.org/images/products/622/500/044/3747/front_ar.4.400.jpg,ar,
beauty,06341312,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/000/000/634/1312/front_en.7.400.jpg,en,
beauty,0041554543711,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/004/155/454/3711/front_en.3.400.jpg,en,
beauty,6222045501098,"كريم تفتيح","كريم تفتيح",,,"مايت سينما","مايت سينما",100g,100,,,https://images.openbeautyfacts.org/images/products/622/204/550/1098/front_ar.3.400.jpg,ar,
beauty,6281006406018,Pond's,,,,,,100g,100,,,,xx,
beauty,9850225265477,"Crazy Colors أزرق",,"Crazy Colors أزرق",,Karin,Karin,"120 ml",120,,,,en,
beauty,6223001380207,Eva,,Eva,,,,,,,,https://images.openbeautyfacts.org/images/products/622/300/138/0207/front_en.3.400.jpg,en,
beauty,6221155062345,"Honey Anti-Breakage Shampoo",,"Honey Anti-Breakage Shampoo",,Sunsilk,unilever|sunsilk,"600 ml",600,,,https://images.openbeautyfacts.org/images/products/622/115/506/2345/front_en.7.400.jpg,en,
beauty,6281006453029,"coconut moisture",,"coconut moisture",,Sunsilk,unilever|sunsilk,"300 ml",300,,"en:oil replacement",https://images.openbeautyfacts.org/images/products/628/100/645/3029/front_en.10.400.jpg,en,
beauty,6224007939758,"بلسم ‏فاتيكا",,,,,,"١ ‏كج",,,,,xx,
beauty,6222019602004,"scrub honey and collagen","scrub honey and collagen",,,BoBana,BoBana,300gm,300,,ar:scrub,https://images.openbeautyfacts.org/images/products/622/201/960/2004/front_ar.3.400.jpg,ar,
beauty,8901248257329,emami,,emami,,emami,emami,100ml,100,,"en:oil hair",https://images.openbeautyfacts.org/images/products/890/124/825/7329/front_en.6.400.jpg,en,
beauty,6291069655117,"كريم فاتيكا","كريم فاتيكا",,,ڤاتيكا,ڤاتيكا,140,,,ar:18,,ar,
beauty,6224009531677,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/622/400/953/1677/front_en.4.400.jpg,en,
beauty,6221155110664,"closeup everfresh",,,,Unilever,unilever,"100 ml",100,,,,it,
beauty,6223001388227,eva,,eva,,Eva,Eva,150ml,150,,,https://images.openbeautyfacts.org/images/products/622/300/138/8227/front_xx.3.400.jpg,xx,
beauty,6946537005757,,,,,,,,,,,https://images.openbeautyfacts.org/images/products/694/653/700/5757/front_en.3.400.jpg,en,
beauty,5060040701034,"Olive face & body scrub","Olive face & body scrub",,,"Bio skincare","Bio skincare","250 ml",250,,,https://images.openbeautyfacts.org/images/products/506/004/070/1034/front_ar.11.400.jpg,ar,
beauty,11518912,"scotch mints",,"scotch mints",,,,"20 g",,,,,en,
products,6111252422763,,,,,,,,,,"ar:مشروب غاز",https://images.openproductsfacts.org/images/products/611/125/242/2763/front_ar.14.400.jpg,ar,
products,6224010623606,"يوبو جرنولا فروله",,"يوبو جرنولا فروله",,,,,,,,,en,
products,6971481220079,"ولاعة سخان فاخرة","ولاعة سخان فاخرة",,,,,,,,,https://images.openproductsfacts.org/images/products/697/148/122/0079/front_ar.3.400.jpg,ar,
products,6975420287277,"Pad PU transparent",,"Pad PU transparent",,Verona,Verona,,,,en:health-beauty|en:health-care|en:first-aid|en:medical-tape-bandages|en:adhesive-bandages,https://images.openproductsfacts.org/images/products/697/542/028/7277/front_en.5.400.jpg,en,
products,6221000046803,,,,,,,,,,,https://images.openproductsfacts.org/images/products/622/100/004/6803/front_ar.3.400.jpg,ar,
products,8006540846551,"Daily Fresh Slim Flexistyle Fresh Scent Giga Pack",,"Daily Fresh Slim Flexistyle Fresh Scent Giga Pack",,Always,always,"100 pcs",,,en:health-beauty|en:personal-care|en:feminine-sanitary-supplies|en:menstrual-products|en:sanitary-napkins,https://images.openproductsfacts.org/images/products/800/654/084/6551/front_en.3.400.jpg,en,
products,5014602401061,"30 Tablets tadalafil Cialis AUST R 81137 tadalafil,",,"30 Tablets tadalafil Cialis AUST R 81137 tadalafil,",,,,,,,,,en,
products,0035000981998,"Keep Manual Toothbrush Whitening silver handle Replaceable 2 brush heads",,"Keep Manual Toothbrush Whitening silver handle Replaceable 2 brush heads",,Colgate,colgate,"2 pcs",,,en:health-beauty|en:personal-care|en:oral-care|en:toothbrushes,https://images.openproductsfacts.org/images/products/003/500/098/1998/front_en.7.400.jpg,en,
products,6294017909607,,,,,,,,,,ar:LM,https://images.openproductsfacts.org/images/products/629/401/790/9607/front_ar.3.400.jpg,ar,
products,6223012616975,"coca cake",,,,,,45g,45,g,fr:Gâteau,https://images.openproductsfacts.org/images/products/622/301/261/6975/front_fr.3.400.jpg,fr,
products,8809640734526,"anua serum",,"anua serum",,,,30ml,30,ml,,https://images.openproductsfacts.org/images/products/880/964/073/4526/front_en.16.400.jpg,en,
products,6224010081109,,,,,Nestlé,nestle,0.33,,,en:Water,https://images.openproductsfacts.org/images/products/622/401/008/1109/front_en.3.400.jpg,en,
products,40329253,سجاير,سجاير,,,"وينستون احمر","وينستون احمر",,,,,https://images.openproductsfacts.org/images/products/000/004/032/9253/front_en.8.400.jpg,ar,
products,6225000592735,"Rani drink",,"Rani drink",,راني,راني,مل235,,,,https://images.openproductsfacts.org/images/products/622/500/059/2735/front_ar.3.400.jpg,ar,
products,6223001362258,"Mountain dew",,"Mountain dew",,"Mountain dew","Mountain dew",400ml,400,ml,en:Drink,https://images.openproductsfacts.org/images/products/622/300/136/2258/front_en.3.400.jpg,en,
products,6916951303708,,,,,,,,,,ar:The,,ar,
products,6739059476675,,,,,,,,,,,https://images.openproductsfacts.org/images/products/673/905/947/6675/front_ar.5.400.jpg,ar,
products,5060696500234,,,,,,,,,,,,ar,
products,2077239095013,,,,,,,,,,,https://images.openproductsfacts.org/images/products/207/723/909/5013/front_ar.3.400.jpg,ar,
products,7220057128233,"سلاح التلميذ","سلاح التلميذ",,,"سلاح التلميذ","سلاح التلميذ",,,,,https://images.openproductsfacts.org/images/products/722/005/712/8233/front_ar.3.400.jpg,ar,
products,6222014334320,"جهينه عصير تفاح كمثري",,"جهينه عصير تفاح كمثري",,Juhayna,Juhayna,1L,1000,ml,,https://images.openproductsfacts.org/images/products/622/201/433/4320/front_en.3.400.jpg,en,
products,0085407028000,Nescafe,,Nescafe,,Nescafe,Nescafe,,,,"en:Hot drinks",https://images.openproductsfacts.org/images/products/008/540/702/8000/front_en.4.400.jpg,en,
products,7622100856672,,,,,,,,,,,https://images.openproductsfacts.org/images/products/762/210/085/6672/front_en.5.400.jpg,en,
products,6111919042679,,,,,,,,,,,https://images.openproductsfacts.org/images/products/611/191/904/2679/front_ar.5.400.jpg,ar,
products,6111270230944,,,,,,,,,,,,ar,
products,6111245400419,,,,,,,,,,,https://images.openproductsfacts.org/images/products/611/124/540/0419/front_ar.5.400.jpg,ar,
products,30104907,,,,,,,,,,,https://images.openproductsfacts.org/images/products/000/003/010/4907/front_ar.3.400.jpg,ar,
products,6223001875246,"بيتي برتقال",,"بيتي برتقال",,,,,,,,https://images.openproductsfacts.org/images/products/622/300/187/5246/front_en.5.400.jpg,en,
products,0074054506283,,,,,,,,,,,https://images.openproductsfacts.org/images/products/007/405/450/6283/front_ar.3.400.jpg,ar,
products,202305232003151062731500,,,,,,,,,,,https://images.openproductsfacts.org/images/products/202/305/232/003151062731500/front_ar.3.400.jpg,ar,
products,0244044652270,توفي,,توفي,,,,,,,,https://images.openproductsfacts.org/images/products/024/404/465/2270/front_en.3.400.jpg,en,
products,6223007634144,"نوجا بالسمسم",,"نوجا بالسمسم",,,,,,,,https://images.openproductsfacts.org/images/products/622/300/763/4144/front_en.3.400.jpg,en,
products,10150136,"فانتس شوفان 180ج",,"فانتس شوفان 180ج",,,,,,,,https://images.openproductsfacts.org/images/products/000/001/015/0136/front_en.3.400.jpg,en,
products,6222035211365,"مارشميلو بينك55ج",,"مارشميلو بينك55ج",,,,,,,,https://images.openproductsfacts.org/images/products/622/203/521/1365/front_en.3.400.jpg,en,
products,0049100140322,ماكس,,ماكس,,,,,,,,https://images.openproductsfacts.org/images/products/004/910/014/0322/front_en.3.400.jpg,en,
products,6223007634045,"تترا للبن",,"تترا للبن",,,,,,,,https://images.openproductsfacts.org/images/products/622/300/763/4045/front_en.3.400.jpg,en,
products,6221030100063,كتاكيتو,,كتاكيتو,,,,,,,,https://images.openproductsfacts.org/images/products/622/103/010/0063/front_en.3.400.jpg,en,
products,5449000005571,"شويبس 950م",,"شويبس 950م",,,,,,,,https://images.openproductsfacts.org/images/products/544/900/000/5571/front_en.3.400.jpg,en,
products,5449000298195,"Coca-Cola 2.45",,"Coca-Cola 2.45",,,,,,,,https://images.openproductsfacts.org/images/products/544/900/029/8195/front_en.5.400.jpg,en,
products,6224009169054,"مياة بوفانا 330م",,"مياة بوفانا 330م",,,,,,,,https://images.openproductsfacts.org/images/products/622/400/916/9054/front_en.3.400.jpg,en,
products,5449000298201,"Sprite 1.5",,"Sprite 1.5",,,,,,,,https://images.openproductsfacts.org/images/products/544/900/029/8201/front_en.3.400.jpg,en,
products,5449000298164,"Fanta orange",,"Fanta orange",,,,,,,,https://images.openproductsfacts.org/images/products/544/900/029/8164/front_en.3.400.jpg,en,
products,5449000266224,Coca-Cola,,Coca-Cola,,,,,,,,https://images.openproductsfacts.org/images/products/544/900/026/6224/front_en.3.400.jpg,en,
products,6224001105883,"لمار عصير كوكتيل",,"لمار عصير كوكتيل",,,,,,,,https://images.openproductsfacts.org/images/products/622/400/110/5883/front_en.5.400.jpg,en,
products,6224008637363,"لمار عصير اناناس",,"لمار عصير اناناس",,,,,,,,https://images.openproductsfacts.org/images/products/622/400/863/7363/front_en.3.400.jpg,en,
products,6224001105104,"لمار عصير مانجو",,"لمار عصير مانجو",,,,,,,,https://images.openproductsfacts.org/images/products/622/400/110/5104/front_en.3.400.jpg,en,
products,6224001105111,"لمار عصير جوافه",,"لمار عصير جوافه",,,,,,,,https://images.openproductsfacts.org/images/products/622/400/110/5111/front_en.3.400.jpg,en,
products,6222014334221,"جهينه عصير يوسفي",,"جهينه عصير يوسفي",,,,,,,,https://images.openproductsfacts.org/images/products/622/201/433/4221/front_en.3.400.jpg,en,
products,6222014334245,"جهينه عصير مكس بيري",,"جهينه عصير مكس بيري",,,,,,,,https://images.openproductsfacts.org/images/products/622/201/433/4245/front_en.3.400.jpg,en,
products,6223000756546,"دومتي برتقال",,"دومتي برتقال",,,,,,,,https://images.openproductsfacts.org/images/products/622/300/075/6546/front_en.3.400.jpg,en,
products,6221024120169,"فيتراك ورد",,"فيتراك ورد",,,,,,,,https://images.openproductsfacts.org/images/products/622/102/412/0169/front_en.3.400.jpg,en,
products,0214406130968,,,,,,,,,,,https://images.openproductsfacts.org/images/products/021/440/613/0968/front_ar.3.400.jpg,ar,
products,0403232939740,,,,,,,,,,,https://images.openproductsfacts.org/images/products/040/323/293/9740/front_en.3.400.jpg,en,
products,8690504156864,"كوديفا شوكولاته لوح","كوديفا شوكولاته لوح",godiva,,,,,,,,https://images.openproductsfacts.org/images/products/869/050/415/6864/front_ar.12.400.jpg,ar,
products,9781784392512,"Selenium testing tools",,"Selenium testing tools",,packt,packt,"2000 g",2000,g,,,en,
products,6224007400432,,,,,,,,,,,https://images.openproductsfacts.org/images/products/622/400/740/0432/front_ar.3.400.jpg,ar,
products,6624000155085,,,,,,,,,,,https://images.openproductsfacts.org/images/products/662/400/015/5085/front_ar.6.400.jpg,ar,
products,6223006655027,,,,,,,,,,,https://images.openproductsfacts.org/images/products/622/300/665/5027/front_ar.3.400.jpg,ar,
products,6111245466644,,,,,,,,,,,https://images.openproductsfacts.org/images/products/611/124/546/6644/front_ar.4.400.jpg,ar,
products,6223002570010,Ketoprek,,Ketoprek,,,,,,,"en:Medicaments|en:Open Products Facts",https://images.openproductsfacts.org/images/products/622/300/257/0010/front_en.3.400.jpg,en,
products,6223003992262,Buscopan,,Buscopan,,,,,,,"en:Medicaments|en:Open Products Facts",https://images.openproductsfacts.org/images/products/622/300/399/2262/front_en.3.400.jpg,en,
products,6222010611333,Pabadol,,Pabadol,,,,,,,"en:Medicaments|en:Open Products Facts",https://images.openproductsfacts.org/images/products/622/201/061/1333/front_en.3.400.jpg,en,
products,6224011153355,"Melacryst 3 mg",,"Melacryst 3 mg",,,,,,,"en:Medicaments|en:Open Products Facts",https://images.openproductsfacts.org/images/products/622/401/115/3355/front_en.3.400.jpg,en,
products,6224011153126,"Melacryst 1.5 mg",,"Melacryst 1.5 mg",,,,,,,"en:Medicaments|en:Open Products Facts",https://images.openproductsfacts.org/images/products/622/401/115/3126/front_en.3.400.jpg,en,
products,0224401033621,,,,,,,,,,,https://images.openproductsfacts.org/images/products/022/440/103/3621/front_ar.3.400.jpg,ar,
products,9120105750011,,,,,,,,,,,https://images.openproductsfacts.org/images/products/912/010/575/0011/front_ar.3.400.jpg,ar,
products,0200406503437,Notussil,,Notussil,,,,,,,,https://images.openproductsfacts.org/images/products/020/040/650/3437/front_en.3.400.jpg,en,
products,8699809595026,,,,,,,,,,,https://images.openproductsfacts.org/images/products/869/980/959/5026/front_ar.4.400.jpg,ar,
products,0124699000162,,,,,,,,,,,,ar,
products,40306445,,,"Cigarettes - Do NOT smoke cigarettes",,Davidoff,Davidoff,,,,en:tobacco-products|en:cigarettes,https://images.openproductsfacts.org/images/products/000/004/030/6445/front_ar.10.400.jpg,ar,
products,6221068503133,Prisoline,,Prisoline,,,,,,,,,en,
products,8681511320911,,,,,,,,,,,,ar,
products,9963516044566,,,,,,,12غ,0,,ar:البدرة,https://images.openproductsfacts.org/images/products/996/351/604/4566/front_ar.5.400.jpg,ar,
products,8413188000281,,,,,,,,,,,https://images.openproductsfacts.org/images/products/841/318/800/0281/front_ar.3.400.jpg,ar,
